According to Acharya Chanakya; in whose happiness lies the king's happiness? , In his own happiness , In the happiness of his subjects , In the strength of his army , In the wealth of his treasury , 2
What condition exists when there is not enough of something to meet everyone's needs or wants? , Abundance , Scarcity , Production , Inflation , 2
Which of the following is listed as an example of something that usually does not require choices because there is plenty of it? , Fresh air , Money , Food , Notebooks , 1
According to the textbook; what are things we would like to have or enjoy but are not necessary for survival? , Needs , Wants , Resources , Duties , 2
Which of the following is categorized as a basic need for survival? , A luxury car , A trip to the movie theater , Food; clothing; and shelter , High-end video games , 3
What statistical measure is used by the government of Bharat to study the progress made in providing access to bare necessities of life? , Human Development Index , Bare Necessities Index , Consumer Price Index , National Scarcity Index , 2
How many dimensions of bare necessities are included in the Bare Necessities Index? , Three dimensions , Seven dimensions , Five dimensions , Ten dimensions , 3
Which of the following is explicitly mentioned as one of the five dimensions of the Bare Necessities Index? , Access to water , High-speed internet , Access to automobiles , Television access , 1
According to the recent study cited in the textbook; access to "the bare necessities" in Bharat has improved compared to which year? , 2000 , 2012 , 2015 , 2020 , 2
What are defined as the things used to make or do things; satisfying our needs or wants? , Wants , Resources , Scarcities , Choices , 2
Into how many broad categories can resources be classified? , Two categories , Three categories , Four categories , Five categories , 2
Which type of resource includes the skills and efforts of people who contribute to a country's development? , Natural Resources , Human Resources , Human-Made Resources , Non-renewable Resources , 2
Which of the following is an example of a Human Resource mentioned in the text? , Water , Data scientists , Buildings , Tractors , 2
What are products created by humans through the application of knowledge; skills; and technology called? , Natural Resources , Human Resources , Human-Made Resources , Renewable Resources , 3
Which of the following is categorized as a Human-Made resource? , Soil , Honey bees , Machinery , Sunlight , 3
Natural resources can be categorized based on how long they last into which two main types? , Primary and secondary , Renewable and non-renewable , Internal and external , Organic and inorganic , 2
What are resources that can be replaced or re-made naturally over time and do not run out? , Non-renewable resources , Renewable resources , Human-made resources , Limited resources , 2
Which of the following is an example of a non-renewable resource listed in the text? , Wind energy , Solar energy , Coal , Trees , 3
How long can the regeneration of non-renewable resources take once they are consumed? , A few days , A few years , Millions of years , A few months , 3
What term means using resources wisely and making sure that future generations will also have what they need? , Rapid industrialization , Sustainable development , Maximized consumption , Resource depletion , 2
What is the social science that studies how we make choices when there are not enough resources to have everything we want? , History , Sociology , Political Science , Economics , 4
Why does the "Problem of choice" arise in economics? , Human wants are limited and resources are unlimited , Human wants are unlimited; resources are limited; and resources have alternative uses , Resources are unlimited and have no alternative uses , Governments force people to make choices , 2
What is defined as the value of the next best thing you give up when you make a choice? , Scarcity cost , Marginal cost , Opportunity cost , Production cost , 3
In the formula given in the textbook; Opportunity Cost is equal to what? , Opportunity Gained , Opportunity Lost , Total Value , Resource Value , 2
In Economics; physical items that can be touched and used are called what? , Services , Goods , Wants , Intangibles , 2
Compared to its demand; how are resources in general described in economic fill-in-the-blank questions? , Abundant , Unlimited , Scarce , Free , 3
