According to Dr. A.P.J. Abdul Kalam; where is there beauty in the character? , When there is harmony in the home , When there is righteousness in the heart , When there is order in the nation , When there is knowledge in the mind , 2
What leads to order in the nation according to Dr. A.P.J. Abdul Kalam? , Beauty in the character , Righteousness in the heart , Harmony in the home , Strict enforcement of laws , 3
Where do we first learn the values that guide our lives? , In our school , In our family , In our neighborhood , In our workplace , 2
Where do we put the lessons learned in family into action? , In books , In society , In isolation , In sports teams , 2
Which family holds the record for the largest family in the world? , The Kalam family , The Ziona family , The Sharma family , The Singh family , 2
Where is the Ziona family from? , Mizoram; India , Kerala; India , Manipur; India , Assam; India , 1
How many members lived under one roof in the Ziona family? , Over 100 members , Over 500 members , Over 200 members , Over 50 members , 3
How many rooms are in the massive house where the Ziona family lives together? , 50-room house , 200-room house , 100-room house , 150-room house , 3
How many children are in the Ziona family as mentioned in the text? , 94 children , 33 children , 100 children , 12 children , 1
How many grandchildren are specifically mentioned in the Ziona family text? , 94 grandchildren , 100 grandchildren , 200 grandchildren , 33 grandchildren , 4
What is defined as a social unit consisting of a father; mother; children with their siblings; and their grandparents? , Society , Family , School , Community , 2
What term refers to brothers or sisters? , Uncles , Cousins , Siblings , Ancestors , 3
Who provides mentorship and guidance for next generations using the wisdom of their life experiences? , Siblings , Grandparents , Teachers , Police officers , 2
What happens when everyone in a family fulfills their duties with love and respect? , It creates a harmonious home , It creates financial wealth , It creates confusion , It reduces family size , 1
What is the attitude of Service called in Indian family values? , Tyaga , Dharma , Seva , Karma , 3
What is the attitude of Sacrifices called in Indian family values? , Seva , Tyaga , Dharma , Satya , 2
According to the text on Indian families; charity is not a choice but a: , Privilege , Luxury , Duty , Option , 3
What do Indian families compulsorily set aside a portion of; regardless of amount? , Their time for travel , Their family income for giving , Their agricultural land , Their property for the state , 2
What is defined as a group of people who live together; share common values; and follow a set of rules to maintain order? , Family , Society , Government , Club , 2
What is the process called where children first learn social behaviors like kindness; trust; and cooperation from their family? , Interdependence , Socialization , Cultural Transmission , Urbanization , 2
What role does family play by passing on cultural traditions; language; and customs? , Financial Support , Socialization , Cultural Transmission , Law Enforcement , 3
Who provides fresh produce in a society according to the section on interdependence? , The shopkeeper , The milkman , The vegetable vendor , The sweeper , 3
Who controls crime rate and ensures safety in a society? , The teacher , The police officer , The vegetable vendor , The minister , 2
Who maintains places clean in a society? , Sweepers and cleaners , Shopkeepers , Teachers , Doctors , 1
In the story of interdependence; from where does the school receive funds to pay salary to teachers and cleaners? , From government loans , From fees paid by students , From shopkeeper donations , From bank interest , 2
What refers to the freedom or privileges that individuals are entitled to? , Duties , Laws , Rights , Rules , 3
What refers to responsibilities that we must fulfill to ensure everyone's rights are respected? , Rights , Privileges , Duties , Freedoms , 3
In which village in Maharashtra do houses not have doors or locks? , Rameswaram , Shani Shingnapur , Mizoram , Pune , 2
Which deity's blessings do the villagers of Shani Shingnapur believe protect them? , Lord Shiva , Shani Dev , Lord Vishnu , Lord Ganesha , 2
What is the approximate population of India mentioned in the text? , Over 100 crore people , Over 140 crore people , Around 33 crore people , Around 15,000 people , 2
What is the population of the United States as mentioned in the "Stop & Think" box? , Roughly 140 crore people , Roughly 15,000 people , Roughly 33 crore people , Roughly 18 crore people , 3
What refers to moral duties and responsibilities that guide human conduct and ensure harmony in society? , Statutory Law , Dharma , Rights , Government regulations , 2
Is offering a seat to an elderly person on a bus enforced by law or guided by Dharma? , Enforced by strict police law , Guided by Dharmic act of moral duty , Required by traffic regulation , Mandated by municipal policy , 2
Who is known as India's "Missile Man" and former President? , Dr. A.P.J. Abdul Kalam , Jainulabdeen , Ziona , Vikram Sarabhai , 1
Where did Dr. A.P.J. Abdul Kalam come from? , Shani Shingnapur; Maharashtra , Rameswaram; Tamil Nadu , Aizawl; Mizoram , New Delhi , 2
What was the occupation of Dr. A.P.J. Abdul Kalam's father; Jainulabdeen? , Bank officer , School teacher , Boat owner , Hospital nurse , 3
What was the name of Dr. A.P.J. Abdul Kalam's mother? , Jyothi , Ashiamma , Amrita , Geetha , 2
What act of generosity by Dr. Kalam's mother influenced him deeply during his childhood? , Buying him expensive books , Sharing her dinner with a hungry traveler leaving her plate empty , Building a massive 100-room house , Donating land to the government , 2
In the analogy question from exercises: Law corresponds to Authority as Dharma corresponds to what? , Righteousness , Rules , Police , Rights , 1
In the analogy question from exercises: Right corresponds to Education as Duties corresponds to what? , Privileges , Follow rules , Authority , Happiness , 2
