How many planets revolve around the Sun in our solar system? , 9 planets , 7 planets , 8 planets , 10 planets , 2
What is the estimated age of Earth according to the Earth's Birth Certificate? , 4.6 billion years , 5.9 billion years , 13.8 billion years , 2.5 billion years , 1
What is the mass of Earth stated in the Earth's Birth Certificate? , 40;091 km , 5.9 billion billion tonnes , 11;033 billion tonnes , 6;400 billion tonnes , 2
What is the circumference of Earth at the equator? , 6;400 km , 8;848 km , 40;091 km , 11;033 km , 3
How far is it from Earth's surface to its core? , 6;400 km , 40;091 km , 2;900 km , 11;033 km , 1
What is the estimated temperature at Earth's core? , 4;400°C , 5;500°C , 5;000°C , 8;848°C , 3
Where is the lowest land surface located on Earth? , Mariana Trench , Shore of Dead Sea , Death Valley , Puerto Rico Trench , 2
What is the deepest part of the ocean mentioned in the text? , Puerto Rico Trench , Java Trench , Sunda Trench , Mariana Trench in Pacific Ocean , 4
What is the average depth of the ocean mentioned in the textbook? , 11;033 m , 3;730 m , 6;400 m , 399 m , 2
During which epoch did Earth experience severe freezing about two million years ago? , Holocene Epoch , Pliocene Epoch , Pleistocene Epoch , Miocene Epoch , 3
What animals used their long tusks to dig for food beneath the ice during the Ice Age? , Woolly mammoths , Saber-toothed cats , Polar bears , Reindeer , 1
When did the last major Ice Age end according to the text? , 2 million years ago , 50;000 years ago , 12;000 years ago , 4;6 billion years ago , 3
What percentage of Earth's surface is covered by liquid water? , Over 50% , Over 60% , Over 70% , Over 80% , 3
Which two primary gases make up Earth's atmosphere shield? , Carbon dioxide and argon , Oxygen and nitrogen , Hydrogen and helium , Methane and ozone , 2
Which layer lies at the center of Earth and is the densest; hottest region? , Mantle , Crust , Core , Atmosphere , 3
What metals compose Earth's inner core? , Copper and zinc , Iron and nickel , Silicon and magnesium , Gold and silver , 2
What is the maximum temperature reached in Earth's inner core? , Up to 4;400°C , Up to 5;500°C , Up to 6;300°C , Up to 15 million°C , 2
Why does the inner core remain solid despite extreme heat? , High magnetic field , High oxygen concentration , High pressure squeezing metals , Lack of metallic elements , 3
What is the depth range of Earth's outer core below the surface? , 35 km to 2;900 km , 2;900 km to 5;100 km , 8 km to 40 km , 5;100 km to 6;400 km , 2
What is the approximate temperature of the Sun's surface (photosphere)? , 15 million°C , 5;500°C , 5;000°C , 4;400°C , 2
What temperature does the core of the Sun reach? , 5;500°C , 15 million°C , 1 million°C , 500;000°C , 2
Which inner layer of Earth interacts with the outer core to influence Earth's magnetic field? , Crust , Upper Mantle , Inner Core , Lithosphere , 3
What is the widest section of Earth extending from 35 km to 2;900 km beneath the surface? , Core , Crust , Mantle , Atmosphere , 3
What name is given to semi-molten rocks found in the mantle? , Basalt , Magma , Lava , Granite , 2
What causes earthquakes and volcanic eruptions in the upper mantle? , Gravitational pull , Moon's orbit , Temperature difference moving tectonic plates , Solar radiation , 3
How thick is Earth's crust under the oceans? , About 8 km , About 35 km , About 40 km , About 2;900 km , 1
Which type of rock forms from the cooling and solidification of molten magma or lava? , Sedimentary rocks , Metamorphic rocks , Igneous rocks , Organic rocks , 3
Which of the following is an example of an igneous rock? , Sandstone , Marble , Granite , Slate , 3
How are sedimentary rocks formed? , Intense heat and pressure , Accumulation and compaction of sediments , Solidification of lava , Volcanic ash cooling , 2
Which rock type is formed when existing rocks undergo intense heat; pressure; or chemical processes? , Igneous rocks , Sedimentary rocks , Metamorphic rocks , Volcanic rocks , 3
What metamorphic rock is formed from limestone? , Slate , Marble , Basalt , Sandstone , 2
What metamorphic rock is formed from shale? , Marble , Granite , Slate , Limestone , 3
Chalk used on blackboards is a type of limestone made from what? , Volcanic ash , Microscopic remains of marine plankton , Compressed plant fossils , Deep sea sand , 2
Which atmospheric layer is closest to Earth's surface where weather phenomena occur? , Stratosphere , Troposphere , Mesosphere , Thermosphere , 2
How high above Earth's surface does the Troposphere extend? , 0 to 8-15 km , 15 to 50 km , 50 to 85 km , 85 to 690 km , 1
What protective layer is located in the Stratosphere to absorb ultraviolet (UV) radiation? , Carbon layer , Ozone layer , Nitrogen layer , Oxygen layer , 2
In which layer of the atmosphere do meteors burn up to become shooting stars? , Troposphere , Stratosphere , Mesosphere , Thermosphere , 3
What happens to temperature in the Mesosphere? , Rises above 1000°C , Drops to as low as -90°C , Stays constant at 0°C , Equals room temperature , 2
Where does the International Space Station orbit and satellites operate? , Troposphere , Stratosphere , Mesosphere , Thermosphere , 4
What natural phenomenon occurs in the Thermosphere when solar particles collide with atmospheric gases? , Rainbows , Auroras (Northern and Southern Lights) , Cyclones , Shooting stars , 2
Which gas molecules primarily make up the sparse distribution in the Exosphere? , Oxygen and nitrogen , Hydrogen and helium , Carbon dioxide and ozone , Argon and neon , 2
What are the horizontal lines running parallel to the Equator called? , Longitudes , Meridians , Latitudes , Altitudes , 3
What is the latitude measurement of the Equator? , 23.5° N , 0° latitude , 66.5° N , 90° S , 2
At what latitude line is the Tropic of Cancer located? , 23.5° South , 66.5° North , 23.5° North , 66.5° South , 3
What astronomical event begins when the Sun shines directly over the Tropic of Capricorn? , Summer solstice , Vernal equinox , Winter solstice , Autumnal equinox , 3
What is the geographic region between the Tropic of Cancer and Tropic of Capricorn called? , Temperate Zone , Frigid Zone , Tropical Zone , Polar Zone , 3
At what latitude is the Arctic Circle located? , 23.5° N , 66.5° N , 23.5° S , 66.5° S , 2
What temperatures can the Antarctic Circle drop to? , -20°C , -50°C , -80°C or lower , -100°C , 3
At what angle is the Earth's axis tilted relative to its orbit around the Sun? , 20° , 23.5 degrees , 45° , 66.5° , 2
Which incarnation of Lord Vishnu is mentioned in ancient Indian knowledge as carrying Earth on his nose? , Matsya avatar , Kurma avatar , Varaha avatar , Narasimha avatar , 3
