Question,Option 1,Option 2,Option 3,Option 4,Answer
Find the missing number: 4; 8; 12; 16; ___,18,20,22,24,2
Find the missing number: 1; 4; 7; 10; ___,12,13,14,11,2
Find the missing number: 2; 4; 8; 16; ___,18,24,32,20,3
Find the missing number: 50; 45; 40; 35; ___,30,25,20,40,1
Complete the sequence: 3; 6; 5; 10; 9; 18; ___,17,20,16,19,1
If A=1; B=2; C=3; D=4; then BAD means:,214,241,412,124,1
If SUN is coded as 19-21-14; how is PEN coded?,16-5-14,15-5-13,16-5-13,15-6-14,1
If BALL is coded as CBMM; how is FISH coded?,GJTI,GJTH,GITH,EJTI,1
Meera is shorter than Kiran. Kiran is shorter than Anu. Who is tallest?,Meera,Kiran,Anu,Cannot say,3
In a line; Dev is first. Then Riya; then Om; then Sara. Who is third?,Dev,Riya,Om,Sara,3
A girl faces West. She turns left. She now faces:,North,South,East,West,2
A boy faces South. He turns right; then right again. He now faces:,East,West,North,South,3
A clock shows 6 o'clock. Where does the hour hand point?,12,3,6,9,3
If today is Friday; what day was it yesterday?,Thursday,Saturday,Sunday,Wednesday,1
Which word comes last in alphabetical order?,Moon,Star,Sun,Sky,3
Arrange from largest to smallest: 9; 2; 6,2; 6; 9,9; 6; 2,6; 9; 2,9; 2; 6,2
A bag is under a chair. Where is the chair in relation to the bag?,Under,Above,Inside,Beside,2
Which shape has exactly 3 sides?,Square,Rectangle,Triangle,Circle,3
How many corners does a rectangle have?,3,4,5,6,2
Neha is 5th from the front and 4th from the back. Total children?,8,9,7,10,1
A painted cube is cut into 27 equal small cubes. How many small cubes have 3 painted faces?,1,6,8,27,3
Find the odd one out:,Printer,Monitor,Speaker,Notebook,4
Which step comes FIRST when a computer works?,Output,Process,Input,Storage,3
Which part does the thinking and calculating?,Mouse,CPU,Printer,Webcam,2
Which of these is an OUTPUT device?,Keyboard,Mouse,Microphone,Printer,4
Which device is used to take a photo into the computer?,Webcam,Speaker,Printer,Pendrive,1
A microphone is mainly an:,Output device,Input device,Storage device,Processor,2
Which pair contains ONLY output devices?,Keyboard & Scanner,Mouse & Mic,Monitor & Speaker,Pendrive & ROM,3
Hard copy means:,File on screen,Print on paper,Sound from speaker,Folder on desktop,2
Which memory keeps data even after the computer is switched off?,RAM,Cache,ROM,Clipboard,3
Which storage is best to carry homework from school to home?,Monitor,Hard disk inside PC,Pen drive,Speaker,3
RAM is also called:,Permanent memory,Temporary memory,Output memory,Paint memory,2
Which one is SOFTWARE?,Keyboard,Mouse,MS Paint,Monitor,3
CPU is found:,On the printer paper,Inside the computer cabinet,On the mouse pad,Inside the speaker,2
Which device sends pictures FROM paper INTO the computer?,Printer,Scanner,Speaker,Projector,2
A student types a story and then sees it on the screen. The screen is:,Input,Process,Output,Storage,3
Which key is used to type the question mark with Shift on most keyboards?,Spacebar,Number row key,Caps Lock,Enter,2
Which key makes a small letter into a CAPITAL for one letter only?,Caps Lock,Shift,Tab,Alt,2
Pressing Enter in MS Word usually:,Saves the file,Starts a new line / paragraph,Copies text,Closes Word,2
Backspace deletes:,The letter on the right,The letter on the left,The whole page,The file name only,2
Delete key removes the character:,To the left of the cursor,To the right of the cursor,At the top of the page,In Recycle Bin only,2
Home key takes the cursor to the:,End of the line,Start of the line,Desktop,Recycle Bin,2
End key takes the cursor to the:,Start of the line,End of the line,Taskbar,Browser,2
Ctrl + A is used to:,Save,Undo,Select all,Paste,3
Ctrl + Y is commonly used to:,Undo,Redo,Cut,Print,2
To copy a word and keep it in the old place also; use:,Cut then Paste,Copy then Paste,Delete then Enter,Save then Close,2
Caps Lock ON means:,Only one capital letter,All letters stay capital until turned off,The file is saved,The mouse is locked,2
Spacebar is used to:,Delete a word,Leave a gap between words,Open Paint,Print a page,2
Which shortcut saves your Word file?,Ctrl + P,Ctrl + S,Ctrl + V,Ctrl + X,2
Tab key is mainly used to:,Draw a circle,Move the cursor forward by a jump / indent,Shut down,Change wallpaper,2
MS Word is best for:,Drawing freehand art,Writing and formatting a letter,Playing a song,Scanning a photo,2
MS Paint is best for:,Typing a 4-page story,Drawing and colouring pictures,Sending email,Making a table of marks,2
Find and Replace in Word helps you:,Draw a line,Change the same spelling mistake many times at once,Scan a page,Turn off the PC,2
Which Paint tool draws a circle?,Line,Oval,Text,Eraser,2
Hold Shift with the Oval tool to draw a:,Star,Perfect circle,Zigzag,Triangle,2
Which Paint tool pours colour into a closed shape?,Pencil,Fill with Color,Magnifier,Text,2
Color Picker is used to:,Erase the page,Pick an already used colour from the drawing,Print the file,Rotate the canvas,2
Crop is used to:,Make letters bold,Cut extra edges of a picture,Play a sound,Add a table,2
Resize in Paint changes the:,Spelling,Size of the whole drawing,Name of the file only,Internet speed,2
Which tool zooms the canvas to see tiny details?,Brush,Magnifier,Eraser,Curve,2
To turn a drawing upside down in Paint; use:,Crop,Flip / Rotate,Fill,Text,2
The Pencil tool is best for:,Perfect circles only,Freehand drawing,Printing,Saving as PDF,2
To type a title on a Paint picture; choose the:,Eraser,Line,Text tool,Bucket only,3
A closed shape will NOT fill if:,It has a small gap in the outline,It is a square,It is red,You used Undo once,1
Two school computers sharing one printer form a:,Website,Network,Paint file,Shortcut,2
The Internet is:,One classroom computer,A worldwide network of computers,A type of mouse,A Paint brush,2
Google Chrome is a:,Search page only,Web browser,Hard disk,Printer driver,2
A search engine is used to:,Colour a drawing,Find information on the Internet,Cut text in Word,Scan homework,2
Deleted files first go to the:,CPU,Recycle Bin,Keyboard,Monitor camera,2
File Explorer is used to:,Browse folders and files on the computer,Draw ovals,Type only capital letters,Unlock a phone by face,1
A website address usually starts with:,paint.exe,www or https,Ctrl + S,Recycle,2
