Question,Option 1,Option 2,Option 3,Option 4,Answer
Find the missing number: 2; 4; 6; 8; ___,10,9,11,12,1
Find the missing number: 5; 10; 15; 20; ___,22,25,24,30,2
Find the missing number: 3; 6; 9; 12; ___,13,14,15,16,3
Find the missing number: 10; 20; 30; 40; ___,45,55,60,50,4
Complete the sequence: 20; 18; 16; 14; ___,12,11,10,13,1
If A=1; B=2; C=3; then the value of CAB is:,321,312,123,213,2
If CAT is coded as 3-1-20; how is DOG coded?,5-15-7,4-14-7,4-15-7,4-15-8,3
If CAT is coded as DBU; how is DOG coded?,DPH,EQH,DOH,EPH,4
Ravi is taller than Arun. Arun is taller than Sam. Who is shortest?,Sam,Ravi,Arun,Cannot say,1
Ravi is before Meena; Meena before Sam; Sam before Tina. Who is last?,Ravi,Tina,Meena,Sam,2
A boy faces East. He turns right; then right again. He now faces:,North,South,West,East,3
A boy faces North. He turns right. Which direction is he facing now?,North,South,West,East,4
A clock shows 3 o'clock. Where will the hour hand point?,3,6,9,12,1
If today is Monday; what day will it be after two days?,Tuesday,Wednesday,Thursday,Friday,2
Which word comes first in alphabetical order?,Ball,Cat,Apple,Dog,3
Arrange from smallest to largest: 8; 3; 5,8; 5; 3,5; 3; 8,8; 3; 5,3; 5; 8,4
If a book is above a table; where is table in relation to book?,Below,Above,Beside,Inside,1
Which 2D geometrical shape has the most sides?,Pentagon,Hexagon,Square,Triangle,2
How many flat square faces does a standard cube have?,4 faces,8 faces,6 faces,12 faces,3
Ravi is 4th from front and 3rd from back in a line. Total students?,5,7,8,6,4
A painted cube is cut into 8 equal small cubes. How many have 3 painted faces?,8,2,4,6,1
Find the odd one out from the options:,Keyboard,Apple,Mouse,Monitor,2
Which sequence correctly shows how a computer works?,Output -> Input -> Process,Process -> Input -> Output,Input -> Process -> Output,Input -> Output -> Process,3
Which part is called the 'brain' of the computer?,Monitor,Keyboard,Speaker,CPU,4
Which device displays text; pictures; and output on screen?,Monitor,Keyboard,Mouse,CPU,1
Which device is mainly used to type letters and numbers?,Monitor,Keyboard,Printer,Speaker,2
Which device is used to point; click; and drag on the screen?,Printer,Speaker,Mouse,Monitor,3
Which device produces a hard copy on paper?,Scanner,Keyboard,Mouse,Printer,4
Which device converts paper pictures into digital format?,Scanner,Printer,Speaker,Monitor,1
Which device is used to record sound into a computer?,Speaker,Microphone,Printer,Monitor,2
Which device is used to hear audio output from a computer?,Scanner,Mouse,Speaker,Webcam,3
Which pair contains ONLY input devices?,Monitor & Printer,Speaker & Monitor,Printer & Speaker,Keyboard & Mouse,4
Which of these is NOT a computer part?,Spoon,Keyboard,Mouse,Monitor,1
Software is best defined as:,Physical parts you touch,Programs running on system,Power wires,Monitor casing,2
Which device is used to store and easily carry files around?,Monitor,Keyboard,Pen drive,Speaker,3
Which main storage device holds all files inside the computer?,Monitor,Mouse,Speaker,Hard Disk,4
Which memory loses its data when the power is turned off?,RAM,ROM,Hard Disk,Pen Drive,1
A student saves a drawing on a pen drive. The pen drive is used as:,An output device,Secondary storage,An input device,A processor,2
Which key leaves a blank space between words?,Enter,Shift,Spacebar,Backspace,3
Which key moves the typing cursor to a new line?,Shift,Delete,Home,Enter,4
Which key moves the cursor to the beginning of a line?,Home,End,Enter,Shift,1
Which key moves the cursor to the end of a line?,Home,End,Spacebar,Backspace,2
Which key deletes characters to the left of the cursor?,Delete,Enter,Backspace,Caps Lock,3
Which key deletes characters to the right of the cursor?,Backspace,Enter,Spacebar,Delete,4
Which key is turned on to type capital letters continuously?,Caps Lock,Shift,Enter,Spacebar,1
Which key is held down to type a single capital letter?,Backspace,Shift,Enter,Tab,2
What is the keyboard shortcut for Copy?,Ctrl + V,Ctrl + X,Ctrl + C,Ctrl + Z,3
What is the keyboard shortcut for Paste?,Ctrl + P,Ctrl + C,Ctrl + S,Ctrl + V,4
What is the keyboard shortcut for Cut?,Ctrl + X,Ctrl + C,Ctrl + S,Ctrl + Z,1
What is the keyboard shortcut to Undo an action?,Ctrl + Y,Ctrl + Z,Ctrl + U,Ctrl + X,2
What is the keyboard shortcut to Save a document?,Ctrl + C,Ctrl + X,Ctrl + S,Ctrl + A,3
Moving a sentence from one place to another requires:,Copy -> Delete,Undo -> Save,Save -> Copy,Cut -> Paste,4
Which application is used to write stories and format text?,MS Word,MS Paint,Calculator,Clock,1
Quickest way to fix a spelling mistake made 10 times in Word:,Retype whole page,Find and Replace,Delete document,Print and use pen,2
Which Paint tool is used to type words on your canvas?,Pencil tool,Eraser tool,Text tool,Line tool,3
Which Paint tool draws a perfectly straight line?,Curve,Brush,Pencil,Line,4
Which Paint tool is used to draw curved; bent lines?,Curve,Line,Rectangle,Text,1
Which Paint tool is used to draw circles and ovals?,Line,Oval,Rectangle,Curve,2
Which Paint tool is used to draw four-sided boxes?,Pencil,Eraser,Rectangle,Oval,3
Which tool fills a closed area completely with colour?,Pencil,Text,Magnifier,Fill with Color,4
Which tool removes mistakes or unwanted pencil marks in Paint?,Eraser,Pencil,Text,Fill,1
Which tool samples an exact colour from an existing drawing?,Fill with Color,Color Picker,Eraser,Magnifier,2
Which tool zooms in to show a picture more closely?,Text,Fill,Magnifier,Brush,3
Which operation cuts away unwanted outer margins of a picture?,Copy,Paste,Undo,Crop,4
Which option makes a drawing smaller or larger in size?,Resize,Eraser,Text,Color Picker,1
Which operation turns a picture upside down or left-to-right?,Crop,Rotate / Flip,Resize,Save,2
Two or more computers linked to share resources form a:,Program,File,Network,Folder,3
Which of the following is a web browser used to view web pages?,MS Paint,Calculator,MS Word,Google Chrome,4
Which tool helps search and find information across the web?,Search engine,Calculator,Paint,Keyboard,1
Where are deleted files held before permanent removal?,Control Panel,Recycle Bin,Desktop,MS Word,2
Which application helps organize and explore folders and files?,Paint,Calculator,File Explorer,Speaker,3
Laptops printing to a printer in another room without wires shows:,Artificial Intelligence,File deletion,Paint tool,Network sharing,4
What does AI stand for in computer technology?,Artificial Intelligence,Automated Internet,Advanced Information,Automatic Input,1
A smartphone unlocking by scanning your face uses:,MS Paint,Artificial Intelligence,File Explorer,Printing,2
What component tells a robot vacuum that an obstacle is ahead?,Speaker,Printer,Sensor,Keyboard,3
Which device uses AI to answer questions when you talk to it?,Printer,Scanner,Keyboard,Smart speaker / assistant,4
Which smart gadget counts your daily steps and monitors heart rate?,Smartwatch,Printer,Scanner,Keyboard,1
Which robot type is commonly used inside industrial car factories?,School bag,Robotic arm,Pencil,Notebook,2
Which specialized robot assists doctors and nurses in hospitals?,Robot book,Toy pencil,Medical robot,Wooden desk,3
Which of the following items is NOT a robot?,Robot vacuum,Robotic arm,Humanoid robot,Pencil,4
Keeping school attendance on computers instead of registers is:,Computerization,Networking,Formatting,Printing,1
A self-driving car uses sensors and AI to:,Drive without instructions,Sense road conditions,Draw pictures,Print newspapers,2
Which of the following shows safe computer lab etiquette?,Pull cables roughly,Touch screens with wet hands,Keep food / drinks away,Bang keyboard keys,3
What should you do if an unknown online person asks for your password?,Give it immediately,Share with friends,Send home address,Tell a trusted adult,4
Which student demonstrates safe Internet browsing?,Meena asks adult first,Ravi shares passwords,Anu clicks unknown links,Arun chats with strangers,1
Aarav wants to write an invitation; make words bold; and print it:,Paint -> Circle -> Save,Word -> Format -> Print,Calculator -> Add,Explorer -> Delete,2
A student wants to type a story; draw a picture; and print both:,Explorer + Speaker,Calculator + Bin,Word + Paint + Printer,Keyboard + Speaker,3
Draw a house; colour the roof red; and erase mistakes in Paint using:,Bold; Italic; Underline,Search engine; Browser,Sensor; Robot; AI,Shapes; Fill; Eraser,4
