Naturally occurring magnets; known by sailors in olden days; are called what?	Lodestones	Bar magnets	Compasses	Horseshoes	1
Which of the following is NOT typically attracted by a magnet?	Iron	Wood	Nickel	Cobalt	2
Iron; nickel; and cobalt are examples of which type of materials?	Non-magnetic materials	Insulating materials	Magnetic materials	Conducting materials	3
Materials that are not attracted towards a magnet are called what?	Magnetic materials	Conductive materials	Metallic materials	Non-magnetic materials	4
The two ends of a magnet; where its magnetic effect is strongest; are called what?	Poles	Edges	Faces	Centres	1
According to the chapter; can a magnet exist with only a single pole?	Yes; a single North pole can exist alone	No; poles always exist in pairs	Yes; a single South pole can exist alone	Yes; if the magnet is very small	2
When freely suspended by a thread; a bar magnet naturally comes to rest pointing in which direction?	East-west direction	Up-down direction	North-south direction	Any random direction	3
The end of a freely suspended magnet that points towards the geographic north is called what?	The South pole	The centre pole	The neutral pole	The North pole	4
When two magnets are brought close with their North poles facing each other; what happens?	They repel each other	They attract each other	They stick together permanently	Nothing happens	1
When the North pole of one magnet is brought close to the South pole of another magnet; what happens?	They repel each other	They attract each other	They cancel out each other's magnetism	Nothing happens	2
When iron filings are sprinkled over a bar magnet; at which part of the magnet do they concentrate the most?	At the middle of the magnet	Uniformly all over the magnet	Near the ends; or poles; of the magnet	They do not stick to the magnet at all	3
According to the chapter; placing a sheet of paper; glass; or cardboard between a magnet and a compass needle produces what result?	The compass needle stops working completely	The magnetic effect is completely blocked	The compass needle reverses direction	No appreciable change in the deflection of the compass needle	4
A device consisting of a freely rotating magnetised needle used to find directions is called what?	A magnetic compass	A bar magnet	A ring magnet	A U-shaped magnet	1
In a magnetic compass; the needle is mounted in such a way that it can do what?	Only move up and down	Rotate freely on a pin	Remain permanently fixed	Attract only iron objects	2
According to the chapter; an iron bar can be converted into a magnet mainly by doing what?	Heating it strongly	Dropping it repeatedly	Stroking it repeatedly in one direction with a pole of an existing magnet	Placing it in water	3
Floating a magnetised needle on a piece of cork in a bowl of water demonstrates which property of a magnet?	Attraction of non-magnetic materials	Repulsion between like poles	Loss of magnetism in water	Alignment along the north-south direction	4
According to the chapter; an ancient Indian navigational device made of a magnetised iron piece shaped like a fish and floated in a vessel of oil was known by what name?	Matsya yantra	Chulha yantra	Sil-batta yantra	Chakra yantra	1
Which of the following is NOT a shape of magnet mentioned in the chapter?	Bar magnet	Triangular magnet	Ring magnet	U-shaped magnet	2
In some magnets; the North pole is conventionally indicated using which colour?	Blue	Green	Red	Yellow	3
According to the chapter's safety instructions; magnets should ideally be stored in pairs with what kind of poles kept on the same side?	Like poles	Only North poles	Only South poles	Unlike poles	4
Why is a piece of wood or soft iron recommended to be kept between the poles of stored magnet pairs?	To help the magnets retain their magnetism	To increase the strength of the magnets	To change the poles of the magnets	To make the magnets heavier	1
According to the chapter's caution; which of the following actions can cause a magnet to lose its magnetism?	Keeping it in a cool place	Dropping; heating; or hammering it	Storing it in pairs	Keeping it away from mobile phones	2
Why are magnets advised to be kept away from mobile phones and remote controls?	Because magnets can charge these devices	Because magnets can interfere with or damage these devices	Because these devices attract magnets permanently	Because magnets make these devices heavier	3
When two matchbox cars fitted with magnets are arranged so that like poles face each other and are brought closer; what would you expect to happen?	The cars would attract and collide	The cars would stick together	The cars would remain stationary	The cars would move away from each other	4
According to the chapter; steel balls placed in a maze on a cardboard tray can be moved without touching them by using what?	A magnet placed below the cardboard tray	A source of heat	A beam of light	A stream of water	1
According to the chapter; a steel paperclip that has fallen into a glass of water can be retrieved without wetting your fingers by using what?	A pair of tongs	A magnet held near the outside of the glass	A spoon	A piece of cloth	2
In a magnetic compass; the needle typically rotates within a transparent cover mounted above what part of the compass box?	The top edge of the box	The side wall of the box	The bottom of the box; on a pin	There is no fixed mounting point	3
On the dial of a magnetic compass; which direction is usually marked with red colouring for easy identification?	West	East	South	North	4
According to the chapter; nickel and cobalt are described as which type of materials; similar to iron?	Non-magnetic materials	Insulating materials	Magnetic materials	Radioactive materials	1
If you are given a magnet with unmarked poles and another magnet with known poles; how can you determine the polarity of the unmarked magnet?	By heating one end of the unmarked magnet	By bringing a known pole close to each end of the unmarked magnet and observing attraction or repulsion	By weighing the unmarked magnet	By placing the unmarked magnet in water	2
According to the chapter; if a magnet is broken into two pieces; what happens to its poles?	Only the North pole remains in one piece	Only the South pole remains in one piece	Each piece becomes a new complete magnet with both a North and South pole	Both pieces lose their magnetism completely	3
A ring magnet is generally shaped like what everyday object?	A straight rod	A horseshoe	A sphere	A circular ring with a hole in the middle	4
A U-shaped magnet is also commonly referred to by what alternative name?	Horseshoe magnet	Ring magnet	Disc magnet	Spherical magnet	1
According to the chapter; a toy called the 'Hopping Frog' can be constructed using magnets arranged along a scale in what pattern?	Random arrangement of poles	Alternating North-South fashion	All North poles facing the same way	Only South poles used throughout	2
According to the chapter; the modern train technology that uses magnetic principles for levitation and movement is known by what name?	Bullet train	Metro train	Maglev train	Steam train	3
According to the chapter; why might different magnets pick up different numbers of steel pins when tested?	Because pins vary randomly with no relation to the magnet	Because different magnets can have different strengths	Because steel pins are magnetic only sometimes	Because the colour of the magnet affects pin attraction	2
A mechanic whose steel screws keep falling while working could most usefully solve the issue in line with the chapter by using what tool?	A pair of scissors	A magnet	A wooden stick	A glass rod	2
According to the chapter; if the earth itself behaves like a giant magnet; a compass needle aligns with the earth's magnetic poles in a manner similar to what?	A compass needle aligning near a bar magnet	A compass needle spinning randomly	A compass needle pointing straight up	A compass needle staying still regardless of direction	1
According to the chapter; which part of a freely suspended bar magnet is used to indicate directions such as North and South?	The middle of the magnet	Its weight	Its two poles	Its colour	3
According to the chapter; can we ever isolate a single magnetic pole by cutting a magnet into smaller and smaller pieces?	Yes; eventually a single pole can be isolated	Yes; but only with very advanced tools	It depends on the material of the magnet	No; even the smallest pieces still have both poles	4
In the story that introduces the chapter; sailors on a spice-trading ship lost their way during a storm mainly because they could no longer see what in the sky?	The moon	Clouds	Stars	The sun	3
According to the chapter; travellers in the olden days used which device to find directions when stars were not visible?	A telescope	A magnetic compass	A sundial	A barometer	2
According to the chapter; in some magnets; the North pole may also be indicated using which simple marking?	A red line	A black dot	A white dot	A blue triangle	3
A magnet shaped like a small ball; with one hemisphere marked North and the other South; is known as what type of magnet?	Disc magnet	Cylindrical magnet	Ring magnet	Spherical magnet	4
A magnet shaped like a short; flat circular piece; with its two flat faces marked as North and South; is known as what type of magnet?	Disc magnet	Cylindrical magnet	Ring magnet	Bar magnet	1
A magnet shaped like a rod with a circular cross-section is known as what type of magnet?	Bar magnet	Cylindrical magnet	Disc magnet	Ring magnet	2
