Find the next term in the alphanumeric series: 2Z5; 4Y7; 7X10; 11W14; ?,15V18,16V19,16U19,15U18,2
In a certain code language; if COMPUTER is coded as RFUVQNPC; then how will PRINTER be coded in that same language?,SFUOJSQ,SFUNHSQ,RFUOISQ,SFTNISQ,1
"Pointing to a photograph of a man; Sneha said; ""His mother is the only daughter of my grandmother."" How is Sneha related to the man in the photograph?",Mother,Sister,Niece,Aunt,2
In a class of 45 students; Rohan ranks 12th from the top. What is his rank from the bottom?,33rd,34th,35th,32nd,2
Which of the following Venn diagrams best represents the relationship among: Hardware; Input Devices; Optical Mouse,Nested concentric circles: (Optical Mouse in Input Devices in Hardware),Two separate circles inside a larger circle,Three completely disjoint circles,Two intersecting circles inside a larger circle,1
What is the decimal equivalent of the binary number (10110)2?,20,22,24,26,2
Which unit of the CPU is directly responsible for coordinating and directing the operations of all other hardware components?,Arithmetic Logic Unit (ALU),Control Unit (CU),Primary Cache,Memory Management Unit (MMU),2
Arrange the following data storage units in ascending order of capacity: 1. Terabyte (TB) 2. Gigabyte (GB) 3. Petabyte (PB) 4. Megabyte (MB),4-2-1-3,4-1-2-3,2-4-1-3,3-1-2-4,1
In MS Word 2016/2019; which feature allows you to send a personalized letter or email to multiple recipients simultaneously?,Track Changes,Mail Merge,AutoSummarize,Cross-Reference,2
In MS Excel; what will be the result of evaluating the formula: =AVERAGE(10; 20; 30)+MAX(5; 15; 25),40,45,50,35,2
In MS Excel; an absolute cell reference is denoted by which symbol?,Ampersand (&),Percent (%),Dollar ($),Hash (#),3
What is the typical single-layer storage capacity of a standard Blu-ray Disc (BD)?,700 MB,4.7 GB,25 GB,128 GB,3
Which network topology connects all nodes directly to a central device such as a Hub or a Switch?,Bus Topology,Star Topology,Ring Topology,Mesh Topology,2
In an HTML document; which tag is an empty tag (does not require a closing tag)?,<title>,<body>,<br>,<html>,3
What is the correct HTML tag used to create a hyperlink?,"<link url=""https://example.com"">","<a href=""https://example.com"">Visit</a>","<hyperlink src=""https://example.com"">","<url link=""https://example.com"">",2
What is the output of the following Python 3 code snippet? x=15; y=4; print(x//y; x%y),3.75 3,3 3,4 3,3 4,2
A type of malicious software that encrypts a user's files and demands payment to restore access is called:,Adware,Spyware,Ransomware,Trojan Horse,3
Which of the following networking protocols is used to securely transfer web pages over the Internet?,FTP,SMTP,HTTPS,POP3,3
An operating system that uses text-based commands instead of graphical icons and windows has a:,GUI (Graphical User Interface),CUI (Character User Interface),Touch UI,Voice UI,2
What type of computer network is configured within a single personal workspace or around a single person (e.g.; connecting a smartwatch to a phone via Bluetooth)?,LAN,PAN,MAN,WAN,2
Match Column I (Protocols/Concepts) with Column II (Primary Functions): P. SMTP Q. DNS R. FTP S. Firewall | 1. Translates domain names 2. Transfers files 3. Sending outgoing mail 4. Monitors and filters traffic,P-3; Q-1; R-2; S-4,P-1; Q-3; R-2; S-4,P-3; Q-2; R-1; S-4,P-2; Q-1; R-3; S-4,1
"Look at the following MS Excel data: Pen (Qty 10; Price 5); Notebook (Qty 4; Price 20); Eraser (Qty 15; Price 2); Marker (Qty 5; Price 10). What value will =COUNTIF(B2:B5; "">=10"")+SUM(C2:C4) return?",29,37,27,39,1
Consider the following Python code: total = 0; for i in range(1; 10; 2): total = total + i; print(total). What will be the final printed output?,25,45,20,16,1
Read the statements regarding Memory Hierarchy: 1. CPU Registers are the fastest and smallest; 2. Cache memory is slower than Secondary storage; 3. RAM is volatile while ROM is non-volatile.,Only Statements 1 and 2 are True,Only Statements 1 and 3 are True,Only Statements 2 and 3 are True,All Statements 1; 2; and 3 are True,2
Identify the Technology: Allows multiple physical computing devices to communicate autonomously without human intervention; using sensors; actuators; and IP networking.,Virtual Reality (VR),Internet of Things (IoT),Blockchain Technology,Augmented Reality (AR),2
Find the next number in the series: 3; 6; 11; 18; 27; ?,36,38,37,40,2
Complete the letter series: A; C; F; J; O; ?,T,U,V,S,2
Solve the analogy: 4 : 64 :: 5 : ?,100,125,110,105,2
Find the odd one out from the given numbers: 121; 144; 169; 180,121,144,169,180,4
If A=Z; B=Y; C=X... (reverse alphabet); then what is the code for CODE?,DPEF,XLWV,YLWB,XKWV,2
A person is facing NORTH. Turn 90 degrees right; then 180 degrees left; then 90 degrees right. Which direction are they facing?,North,South,East,West,1
Rahul is 15th from TOP and 20th from BOTTOM in class. What is the total number of students?,35,34,36,33,2
