Who penned the epic Ramcharit Manas in Awadh during the 17th century? , Kalidasa , Goswami Tulsidas , Kaviraja Madhava Kandali , Kamban , 2
Which Assam-based poet wrote the Saptakanda Ramayana in the 14th century CE? , Kaviraja Madhava Kandali , Tulsidas , Kamban , Valmiki , 1
Which South Indian king patronized Kamban to write Ramavataram in Tamil? , King Kulothunga , King Pulakeshin , King Rajendra Chola , King Ashoka , 1
According to Valmiki's Ramayana; what software mapping corroborated birth dates and time references? , Satellite tracking , Star configurations , Carbon dating , Oceanographic mapping , 2
According to oceanography; roughly how deep under the sea do the remains of Ram Sethu lie? , Two meters , Ten meters , Fifty meters , One hundred meters , 1
What estimated timeframe does oceanography assign to the construction of Ram Sethu? , 1000 BCE , 3000 BCE , 5000 BCE , 10000 BCE , 3
Besides the Ramayana; which other ancient Indian epic mentions Ram Sethu? , Rigveda , Mahabharata , Arthashastra , Upanishads , 2
Which title given to local rulers means Protectors of the Bridge? , Sethukavalan , Chakravarthi , Samrat , Nayaka , 1
What name do kings of Thailand carry even today in honor of the Ramayana? , Indra , Rama , Arjuna , Dasharatha , 2
Which Southeast Asian nation used Hanuman as the official mascot for the 1997 Southeast Asian Games? , Thailand , Cambodia , Indonesia , Vietnam , 3
What is the Korean legend of princess Suriratna associated with in India? , Mathura , Ayodhya , Kashi , Ujjain , 2
What is the Cambodian epic Reamkar's main antagonist named? , Ravana , Kumbhakarna , Ream , Reap , 4
What character from the Ramayana does Neang Seda represent in Cambodian tradition? , Urmila , Sita , Mandodari , Kunti , 2
Which river is listed as item number 1 on the Map of Ramayana? , Ganga river , Sarayu river , Yamuna river , Godavari river , 2
In the Map of Ramayana; what place is listed as Janaka's kingdom? , Ayodhya , Kishkinta , Mithila , Chitrakoot , 3
Which forest was the site of Rama's stay during exile listed on the Ramayana map? , Dandakaranya forest , Naimisharanya forest , Panchavati forest , Sundarbans , 1
Who was the father of the 100 Kaurava brothers? , Pandu , Dhritarashtra , Shantanu , Bhishma , 2
Who was the queen and mother of the main Pandava brothers mentioned in the text? , Kunti , Gandhari , Madri , Satyavati , 1
How did the Kauravas unfairly snatch the kingdom and wealth from the Pandavas? , In a battle , Through a game of dice , By royal decree , Through an invasion , 2
Which king was Krishna the ruler of? , Hastinapura , Magadha , Dwaraka , Anga , 3
What was the primary core cause of the Mahabharata war according to the text? , Fight for territory only , Fight for justice between Dharmic and Adharmic forces , Desire for personal revenge , Dynasty supremacy , 2
What three-faced animal seal was discovered during underwater exploration of Dwaraka? , Tri-Mukha Mudra , Dwaraka Mudra , Garuda Mudra , Pashupati Seal , 2
Around what traditionally accepted date does archaeological evidence in Dwaraka date back to? , 1500 BCE , 3000 BCE , 500 BCE , 5000 BCE , 2
Where were ancient coins depicted with a wheel (Chakra) and plough excavated around 200 BCE? , Ai Khanom in Afghanistan , Taxila in Pakistan , Mathura in India , Harappa , 1
Which capital city of the Kurus is listed as item 1 on the Map of Mahabharata? , Hastinapura , Indraprastha , Kashi , Magadha , 1
Who was the Naga princess that Arjuna married from Pragjyotishapura? , Ulupi , Chitrangada , Subhadra , Rukmini , 1
Which kingdom in present-day Bihar was ruled by Jarasandha? , Magadha , Anga , Gandhara , Vidharba , 1
Who was the queen of Gandhara and sister of Shakuni? , Kunti , Gandhari , Dushchala , Rukmini , 2
Who was Krishna's wife from the kingdom of Vidharba? , Draupadi , Ulupi , Rukmini , Satyabhama , 3
What traditional Holi festival play involving sticks is celebrated in Nandgaon and Barsana? , Dahi Handi , Lath Mar Holi , Phoolon Ki Holi , Holika Dahan , 2
Which ancient text of the Tamils mentions migrants from Dwaraka settling in southern kingdoms? , Sangam literature , Silappatikaram , Manimekalai , Tolkappiyam , 1
What happened to the sacred Saraswati river in the post-Mahabharata age? , It flooded the region , It dried up , It changed course to the south , It merged with the ocean , 2
What was the local language term for wrestling practiced by the Mallas? , Silambam , Kushti , Malla-yuddha , Kalaripayattu , 3
What high-interest rate was mentioned in the trade and commerce example for borrowing 100 rupees? , 5 percent , 10 percent , 20 percent , 15 percent , 2
Which student was considered a better learner than a mantravit who learned by rote memory? , Charaka , Atmavit , Guru , Rishi , 2
